director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Carroll Ballard,Teri Garr,Kelly Reno,Hoyt Axton,Adventure Family Sport,The Black Stallion
Rohit Jugraj,Bhavkhandan Singh Rakhra,Neeru Bajwa,Diljit Dosanjh,Romance,Sardaar Ji
Thorbjørn Christoffersen,Iben Hjejle,Frank Hvam,Casper Christensen,Action Adventure Animation Comedy Sci-Fi,Journey to Saturn
John Ford,Lee Marvin,Cesar Romero,Jack Warden,Adventure Comedy Romance,Donovan's Reef
Alex van Warmerdam,Rijk de Gooyer,Ariane Schluter,Henri Garcin,Comedy Drama,The Dress
Victor Fleming,Spencer Tracy,Esther Williams,Irene Dunne,Drama Fantasy Romance War,A Guy Named Joe
Mel Brooks,Madeline Kahn,David Huddleston,Harvey Korman,Comedy Western,Blazing Saddles
Joseph Zito,Judie Aronson,Tom Everett,Kimberly Beck,Horror Thriller,Friday the 13th: The Final Chapter
Pawel Pawlikowski,Joanna Kulig,Agata Trzebuchowska,Agata Kulesza,Drama,Ida
James Ivory,Rupert Graves,Denholm Elliott,Simon Callow,Drama Romance,Maurice
Frank Sebastiano,Joe Lo Truglio,Laurie Metcalf,Seymour Cassel,Comedy Sport,Beer League
Rand Ravich,Johnny Depp,Charlize Theron,Clea DuVall,Drama Sci-Fi Thriller,The Astronaut's Wife
Stacy Peralta,Gerry Lopez,Gabrielle Reece,Laird John Hamilton,Documentary History Sport,Riding Giants
Nacho Vigalondo,Karra Elejalde,Nacho Vigalondo,Bárbara Goenaga,Horror Mystery Sci-Fi Thriller,Timecrimes
Hao Ning,Jack Kao,Bo Huang,Zheng Xu,Action Adventure Comedy,Silver Medallist
Tony Giglio,Brianna Brown,Nick Searcy,Beth Broderick,Horror Thriller,Timber Falls
Stanley Donen,Rita Moreno,Debbie Reynolds,Cyd Charisse,Comedy Musical Romance,Singin' in the Rain
Joe Cross,Joe Cross,Joel Fuhrman,Amy Badberg,Documentary,"Fat, Sick & Nearly Dead"
Michael Tiddes,Essence Atkins,Alanna Ubach,J.B. Smoove,Comedy Fantasy,A Haunted House
Dinesh D'Souza,Barack Obama,Zackary Steven Graham,Dinesh D'Souza,Documentary,2016: Obama's America
Rob Zombie,Scout Taylor-Compton,Tyler Mane,Margot Kidder,Horror,Halloween II
Tom Hanks,Tom Hanks,Charlize Theron,Ethan Embry,Comedy Drama Music,That Thing You Do!
Tommy Lee Wallace,Tom Atkins,Dan O'Herlihy,Nancy Kyes,Horror Mystery Sci-Fi,Halloween III: Season of the Witch
Don Taylor,Roddy McDowall,M. Emmet Walsh,Sal Mineo,Action Sci-Fi,Escape from the Planet of the Apes
Martin Ritt,Patricia Neal,Melvyn Douglas,Whit Bissell,Drama,Hud
Leslie Small,David Jason Perez,La'Princess Jackson,Dana Hanna,Comedy Documentary,Kevin Hart: Let Me Explain
Gus Van Sant,Keanu Reeves,Udo Kier,Flea,Drama,My Own Private Idaho
Zach Braff,Armando Riesco,Michael Weston,Jill Flint,Comedy Drama Romance,Garden State
Richard Linklater,Hanno Pöschl,Hans Weingartner,Dominik Castell,Drama Romance,Before Sunrise
Éric Tessier,Patrick Huard,Michel Côté,Jean Pierre Bergeron,Action Drama Horror Thriller,Sur le seuil
Alison Maclean,Billy Crudup,Samantha Morton,Mark Webber,Drama,Jesus' Son
Alice Wu,Joan Chen,Ato Essandoh,Jessica Hecht,Comedy Drama Romance,Saving Face
Sarah Gavron,Satish Kaushik,Christopher Simpson,Tannishtha Chatterjee,Drama,Brick Lane
Jake Schreier,Frank Langella,Joshua Ormond,Ana Gasteyer,Comedy Crime Drama Sci-Fi,Robot & Frank
Isabel Coixet,Sarah Polley,Julian Richings,Amanda Plummer,Drama Romance,My Life Without Me
James Ponsoldt,Shailene Woodley,Jennifer Jason Leigh,Dayo Okeniyi,Comedy Drama Romance,The Spectacular Now
Randall Miller,William Hurt,Elden Henson,Michael Bower,Comedy Family Musical Romance Short,Marilyn Hotchkiss' Ballroom Dancing and Charm School
Larry Charles,Bill Maher,Tal Bachman,Steve Burg,Comedy Documentary War,Religulous
Joshua Tickell,Larry David,Sheryl Crow,George W. Bush,Documentary,Fuel
Tim Boxell,Bruce McGill,Diana Scarwid,Tom Bower,Drama,Valley of the Heart's Delight
Rawson Marshall Thurber,Gary Cole,Stephen Root,Joel David Moore,Comedy Sport,Dodgeball: A True Underdog Story
Michael D. Sellers,Katharine Ross,Carly Schroeder,George Harris,Comedy Drama Family,Eye of the Dolphin
Reed Cowan,Dustin Lance Black,Emily Pearson,Gavin Newsom,Documentary,8: The Mormon Proposition
James Dodson,Larry Miller,Anupam Kher,Shriya Saran,Comedy Drama Romance,The Other End of the Line
Stefan Ruzowitzky,Benno Fürmann,Rüdiger Vogler,Sebastian Blomberg,Horror Thriller,Anatomy
Alex Rivera,Leonor Varela,Jacob Vargas,Tenoch Huerta,Drama Romance Sci-Fi Thriller,Sleep Dealer
James Gunn,Linda Cardellini,Rainn Wilson,Paul T. Taylor,Comedy Crime Drama,Super
John Murlowski,Ashley Scott,Piper Mackenzie Harris,Lochlyn Munro,Comedy Drama Family Romance,Christmas Mail
Benni Diez,Clifton Collins Jr.,Cecilia Pillado,David Masterson,Comedy Horror,Stung
Danny Perez,Natasha Lyonne,Emmanuel Kabongo,Mark Webber,Horror,Antibirth
Spike Lee,Bernie Mac,Harry Lennix,Andre Braugher,Drama History,Get on the Bus
Robby Henson,Marc Blucas,Max Ryan,Justine Waddell,Drama Horror Mystery Thriller,Thr3e
Mike Judge,Anthony 'Citric' Campos,Patrick Fischler,David Herman,Adventure Comedy Sci-Fi,Idiocracy
Zackary Adler,Simon Merrells,Kevin Leslie,Kris Sommerville,Crime Drama,The Rise of the Krays
Shane Meadows,Stephen Graham,Joseph Gilgun,Jack O'Connell,Crime Drama,This Is England
Dominic Burns,Julian Glover,Sean Pertwee,Bianca Brigitte VanDamme,Comedy Sci-Fi,Alien Uprising
George Sidney,Esther Williams,Basil Rathbone,Red Skelton,Comedy Musical,Bathing Beauty
Carmen Marron,Jossara Jinaro,Aimee Garcia,Rene Rosado,Drama Musical,Go for It!
Tim McCanlies,Ethan Embry,Michael O'Neill,Alexandra Holden,Comedy Drama Family,"Dancer, Texas Pop. 81"
George Sidney,Agnes Moorehead,Ava Gardner,Howard Keel,Drama Family Musical Romance,Show Boat
Mario Van Peebles,Tom Skerritt,Cinda McCain,Luke Perry,Drama,Redemption Road
Jason Stone,Topher Grace,Ellen Burstyn,Christopher Heyerdahl,Thriller,The Calling
Jerry Rees,Jon Lovitz,Phil Hartman,Mindy Sterling,Adventure Animation Comedy Family Fantasy Musical,The Brave Little Toaster
James Algar,Leopold Stokowski,Deems Taylor,unknown,Animation Family Fantasy Music,Fantasia
William Friedkin,Roy Scheider,Fernando Rey,Tony Lo Bianco,Action Crime Drama Thriller,The French Connection
Jaco Booyens,Nicole Smolen,Sebastian Aguilar,Ivette Alvarez,Drama Thriller,8 Days
Steve Miner,Richard Brooker,Dana Kimmell,Catherine Parks,Horror Thriller,Friday the 13th Part III
Danny Steinmann,Tiffany Helm,Melanie Kinnaman,Dominick Brascia,Horror Mystery Thriller,Friday the 13th: A New Beginning
Michael Landon Jr.,Henry Thomas,Louise Fletcher,A.J. Buckley,Drama,The Last Sin Eater
Jon Gunn,Alexa PenaVega,Delroy Lindo,Madison Pettis,Drama,Do You Believe?
Hayley Cloake,Brian Austin Green,Kayla Ewell,Linden Ashby,Thriller,Impact Point
Tay Garnett,Jessica Tandy,Greer Garson,Lionel Barrymore,Drama,The Valley of Decision
Shyam Madiraju,Jessica Lowndes,Ethan Peck,Brad Schmidt,Drama Thriller,Eden
Harmage Singh Kalirai,Saeed Jaffrey,Zohra Segal,Shobu Kapoor,Comedy Drama Romance,Chicken Tikka Masala
Rita Merson,Ryan Guzman,James Wolk,Jason Ritter,Comedy Music Romance,Always Woodstock
Jon Knautz,Rachel Skarsten,Daniel Kash,Stefanie Drummond,Action Comedy Horror,Jack Brooks: Monster Slayer
William Wyler,Myrna Loy,Teresa Wright,Dana Andrews,Drama Romance War,The Best Years of Our Lives
Larry Clark,Kelli Garner,Nick Stahl,Brad Renfro,Biography Crime Drama,Bully
Petter Næss,Jørgen Langhelle,Per Christian Ellefsen,Sven Nordin,Comedy Drama,Elling
Robert Fontaine,Michael Derek,Arturo Castro,Brad Lee Wind,Crime Drama,Mi America
Jaume Balagueró,Manuela Velasco,Pablo Rosso,Carlos Lasarte,Horror,[Rec]
Patricia Cardoso,Rosie Perez,Martha Higareda,Cheyenne Haynes,Drama,Lies in Plain Sight
Dan Perri,Travis Myers,David Proval,Carmen Argenziano,Comedy Drama Mystery Romance Thriller,Sharkskin
Neil Mcenery-West,Walter Hendrix III,Michael Chapman,Louise Brealey,Horror Sci-Fi Thriller,Containment
Anthony O'Brien,James Ransone,Maria Doyle Kennedy,Shaun O'Hagan,Adventure Drama Western,The Timber
Terence Young,Robert Shaw,Daniela Bianchi,Lois Maxwell,Action Adventure Thriller,From Russia with Love
Michael Herz,Phoebe Legere,Jessica Dublin,Lisa Gaye,Action Comedy Horror Sci-Fi,The Toxic Avenger Part II
unknown,Carroll O'Connor,Alan Autry,Crystal R. Fox,Crime Drama Mystery,In the Heat of the Night            
Woody Allen,Woody Allen,John Beck,Mews Small,Comedy Sci-Fi,Sleeper
David Robert Mitchell,Maika Monroe,Ruby Harris,Jake Weary,Horror Mystery,It Follows
Woody Allen,Woody Allen,John Carradine,Lynn Redgrave,Comedy,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask
Robert Mulligan,Robert Duvall,Brock Peters,William Windom,Crime Drama,To Kill a Mockingbird
George Miller,Vernon Wells,Bruce Spence,Kjell Nilsson,Action Adventure Sci-Fi Thriller,Mad Max 2: The Road Warrior
Chia-Liang Liu,Andy Lau,Anita Mui,Ho-Sung Pak,Action Comedy,The Legend of Drunken Master
Stanley Kubrick,James Mason,Shelley Winters,Lois Maxwell,Crime Drama Romance,Lolita
Kimberly Peirce,Alicia Goranson,Brendan Sexton III,Jeannetta Arnette,Biography Crime Drama Romance,Boys Don't Cry
Chris Kentis,Eric Sheffer Stevens,Julia Taylor Ross,Adam Trese,Drama Horror Mystery Thriller,Silent House
Florian Henckel von Donnersmarck,Sebastian Koch,Ulrich Mühe,Martina Gedeck,Drama Thriller,The Lives of Others
Alex Kendrick,Ben Davies,Alex Kendrick,T.C. Stallings,Drama,Courageous
Robert Rossen,George C. Scott,Jackie Gleason,Murray Hamilton,Drama Sport,The Hustler
Jack Conway,Hedy Lamarr,Spencer Tracy,Claudette Colbert,Adventure Drama Romance Western,Boom Town
Sylvain Chomet,Michel Robin,Charles Linton,Béatrice Bonifassi,Animation Comedy Drama,The Triplets of Belleville
Chris Eyre,Michael Greyeyes,Irene Bedard,Gary Farmer,Comedy Drama,Smoke Signals
Shari Springer Berman,Josh Hutcherson,James Urbaniak,Daniel Tay,Biography Comedy Drama,American Splendor
Richard Linklater,Vernon Dobtcheff,Albert Delpy,Marie Pillet,Drama Romance,Before Sunset
Alejandro G. Iñárritu,Adriana Barraza,Jorge Salinas,Goya Toledo,Drama Thriller,Amores Perros
Catherine Hardwicke,Holly Hunter,Sarah Clarke,Kip Pardue,Drama,Thirteen
Elia Kazan,Dean Stockwell,Celeste Holm,John Garfield,Drama Romance,Gentleman's Agreement
Debra Granik,Jennifer Lawrence,Shelley Waggener,Lauren Sweetser,Drama,Winter's Bone
Kevin Macdonald,Nicholas Aaron,Brendan Mackey,Joe Simpson,Adventure Documentary Drama Sport,Touching the Void
Henry King,Tyrone Power,Don Ameche,John Carradine,Drama Musical Romance,Alexander's Ragtime Band
Miranda July,Najarra Townsend,Brad William Henke,Miranda July,Comedy Drama,Me and You and Everyone We Know
Charles Ferguson,Matt Damon,George W. Bush,Barney Frank,Crime Documentary,Inside Job
Max Joseph,Vanessa Lengies,Emily Ratajkowski,Jonny Weston,Drama Music Romance,We Are Your Friends
Jim Jarmusch,Henry Silva,Gano Grills,Richard Portnow,Action Crime Drama Thriller,Ghost Dog: The Way of the Samurai
David Ayer,J.K. Simmons,Christian Bale,Noel Gugliemi,Action Crime Drama Thriller,Harsh Times
Jerry Jameson,David Oyelowo,Leonor Varela,Sydelle Noel,Crime Drama Thriller,Captive
Steven Soderbergh,Julia Roberts,Enrico Colantoni,Blair Underwood,Comedy Romance,Full Frontal
Kevin Tenney,Kathleen Wilhoite,Tawny Kitaen,Rose Marie,Horror Mystery Thriller,Witchboard
unknown,Stephen Colbert,Amy Sedaris,Maria Thayer,Comedy,Strangers with Candy            
Kenneth Branagh,Julie Christie,Brian Blessed,Richard Briers,Drama,Hamlet
John Cameron Mitchell,Sook-Yin Lee,Peter Stickles,Raphael Barker,Comedy Drama Romance,Shortbus
Ari Folman,Ari Folman,Ronny Dayag,Zahava Solomon,Animation Biography Documentary Drama History War,Waltz with Bashir
Gary Rogers,Noah Danby,Kirby Heyborne,Bruce Newbold,Adventure,"The Book of Mormon Movie, Volume 1: The Journey"
Charles Ferguson,Campbell Scott,Dick Cheney,Donald Rumsfeld,Documentary War,No End in Sight
Marielle Heller,Alexander Skarsgård,David Fine,Austin Lyon,Drama Romance,The Diary of a Teenage Girl
unknown,Anne Hathaway,Jon Tenney,Debrah Farentino,Comedy Drama Romance,Get Real            
David Sington,John F. Kennedy,Buzz Aldrin,Neil Armstrong,Documentary History,In the Shadow of the Moon
Kelly Reichardt,Bruce Greenwood,Zoe Kazan,Shirley Henderson,Drama Western,Meek's Cutoff
Fenton Bailey,Hugh M. Hefner,Bill Maher,Linda Lovelace,Biography Documentary History,Inside Deep Throat
Bob Giraldi,Danny Aiello,Manny Perez,Ajay Naidu,Crime Drama Romance,Dinner Rush
Jill Sprecher,Alanna Ubach,Bob Balaban,Jamie Kennedy,Comedy Drama,Clockwatchers
Huck Botko,Matt Bennett,Krysta Rodriguez,Zack Pearlman,Comedy,The Virginity Hit
Luc Besson,Christopher Lambert,Isabelle Adjani,Jean-Hugues Anglade,Comedy Drama Thriller,Subway
David Duchovny,Robin Williams,Mark Margolis,Frank Langella,Comedy Drama,House of D
Mitchell Lichtenstein,Jess Weixler,Nathan Parsons,John Hensley,Comedy Fantasy Horror Thriller,Teeth
Lance Mungia,Jeffrey Falcon,Stephane Gauger,Kim De Angelo,Action Adventure Comedy Drama Music Sci-Fi,Six-String Samurai
Kundan Shah,Karisma Kapoor,Bobby Deol,Shakti Kapoor,Action Comedy Romance Thriller,Hum To Mohabbat Karega
Michael Dowse,Paul Kaye,Neil Maskell,Kate Magowan,Biography Comedy Drama Music,It's All Gone Pete Tong
Hue Rhodes,Peter Dinklage,Steve Buscemi,Romany Malco,Comedy Drama,Saint John of Las Vegas
Shane Meadows,Bob Hoskins,Annette Badland,Karl Collins,Comedy Drama Romance Sport,24 7: Twenty Four Seven
Roland Emmerich,Jeremy Irvine,Caleb Landry Jones,Matt Craven,Drama,Stonewall
unknown,Joe Morton,Colin Ferguson,Salli Richardson-Whitfield,Comedy Drama Sci-Fi,Eureka            
Jugal Hansraj,Saif Ali Khan,Sanjay Mishra,Javed Jaffrey,Animation Comedy Family Romance,Roadside Romeo
Danny Provenzano,Vincent Pastore,Frank Vincent,Chuck Zito,Crime Drama,This Thing of Ours
Bill Muir,Alex Kendrick,Jansen Panettiere,Tiya Sircar,Adventure Family Fantasy,The Lost Medallion: The Adventures of Billy Stone
Richard LaGravenese,Anna Kendrick,Jeremy Jordan,Charly Bivona,Comedy Drama Musical Romance,The Last Five Years
Noah Buschel,Merritt Wever,Amy Ryan,Paul Adelstein,Drama,The Missing Person
Brian Yuzna,Melinda Clarke,Kent McCord,Sarah Douglas,Horror Romance Sci-Fi,Return of the Living Dead III
Hunter Richards,Jason Statham,Chris Evans,Dane Cook,Drama Romance,London
Laurie Collyer,Brad William Henke,Kate Burton,Michelle Hurst,Drama,Sherrybaby
Bruce McCulloch,Martin Starr,Megan Mullally,Chris Penn,Comedy Crime,Stealing Harvard
Aaron Hann,Jordi Vilasuso,Michael McLafferty,Kaiwi Lyman-Mersereau,Drama Horror Mystery Sci-Fi Thriller,Circle
James Watkins,Michael Fassbender,Jack O'Connell,Lorraine Stanley,Horror Thriller,Eden Lake
Catherine Hardwicke,Frances Fisher,James Kyson,Marlene Forte,Thriller,Plush
Phil Claydon,MyAnna Buring,James Corden,Silvia Colloca,Action Comedy Fantasy Horror,Vampire Killers
Ralph Ziman,Rapulana Seiphemo,Kenneth Nkosi,Robert Hobbs,Action Crime Drama,Gangster's Paradise: Jerusalema
John Simpson,Colin Salmon,Lee Evans,Ian McNeice,Crime Drama Thriller,Freeze Frame
Colin Minihan,Mackenzie Gray,Sean Rogerson,Ashleigh Gryzko,Horror,Grave Encounters
Conor McMahon,Peter McQuinn,Tommy Knight,Jemma Curran,Comedy Horror,Stitches
Chris Shadley,Daniel Baldwin,William Lee Scott,Marc Macaulay,Crime Drama Horror Mystery Thriller,Nine Dead
Simon Napier-Bell,Alice Cooper,Tim Rice,Louis Walsh,Documentary,"To Be Frank, Sinatra at 100"
Woody Allen,Woody Allen,Charlotte Rae,Louise Lasser,Comedy,Bananas
Simon Yin,Paul Sheehan,Linus Roache,Kathy Uyen,Thriller,Supercapitalist
Jeff Crook,Nicholas Gonzalez,Mario Cimarro,Ricardo Chavira,Action Crime Drama Thriller,Rockaway
unknown,Steven Weber,Tim Daly,Amy Yasbeck,Comedy Drama,Wings            
Orson Welles,Rita Hayworth,Everett Sloane,Ted de Corsia,Crime Drama Film-Noir Mystery Thriller,The Lady from Shanghai
Dave Payne,Mircea Monroe,Lew Temple,Robert Pine,Horror Thriller,No Man's Land: The Rise of Reeker
James Cox,Jake Gyllenhaal,M.C. Gainey,Mark Rolston,Crime Drama,Highway
Jonas Åkerlund,Noel Gugliemi,Saffron Burrows,Matt Lucas,Comedy Crime Drama,Small Apartments
Brad Copeland,Sunil Narkar,Ben Schwartz,Glenn Howerton,Comedy,Coffee Town
Paul Bunnell,Kate Maberly,Kevin McCarthy,Paul Williams,Comedy Fantasy Musical Sci-Fi,The Ghastly Love of Johnny X
Phil Morrison,Sally Hawkins,Curtiss Cook,Peter Hermann,Comedy Drama,All Is Bright
Harald Reinl,Christopher Lee,Lex Barker,Karin Dor,Horror Mystery,The Torture Chamber of Dr. Sadism
James Cox,Jon Mack,Powers Boothe,Josh Meyers,Comedy Drama,Straight A's
Richard Lester,Buster Keaton,Zero Mostel,Phil Silvers,Comedy Musical,A Funny Thing Happened on the Way to the Forum
Michael Moore,Michael Moore,Eddie Vedder,Steve Earle,Documentary,Slacker Uprising
Tanner Beard,William McNamara,Kevin Alejandro,Glenn Morshower,Action Adventure History Western,The Legend of Hell's Gate: An American Conspiracy
Scott Dow,Trenton Rostedt,Wray Crawford,Dave Sheridan,Comedy Horror,The Walking Deceased
Derick Martini,Kevin Zegers,Bella Heathcote,Tom Arnold,Drama Horror Mystery Thriller,The Curse of Downers Grove
Jerry Dugan,Melissa Bolona,Michael Aaron Milligan,James Chalke,Thriller,Shark Lake
Tim Hunter,Keanu Reeves,Daniel Roebuck,Ione Skye,Crime Drama,River's Edge
Michael Polish,Peter Coyote,Anthony Edwards,Jon Gries,Drama Fantasy,Northfork
William Kaufman,Paul McGillion,Mike 'The Miz' Mizanin,David Lewis,Action Thriller,The Marine 4: Moving Target
Rodrigo Cortés,Ryan Reynolds,Samantha Mathis,Erik Palladino,Drama Mystery Thriller,Buried
Richard Ayoade,Craig Roberts,Paddy Considine,Sally Hawkins,Comedy Drama Romance,Submarine
Jehane Noujaim,Khalid Abdalla,Ahmed Hassan,Aida Elkashef,Documentary Drama History News,The Square
Pascal Arnold,Karl E. Landler,Lizzie Brocheré,Pierre Perrier,Drama,One to Another
Kimberly Peirce,Chloë Grace Moretz,Judy Greer,Portia Doubleday,Drama Fantasy Horror,Carrie
Remo,Lauren Gottlieb,Remo,Prabhudheva,Drama Musical,ABCD (Any Body Can Dance)
Wes Craven,Johnny Depp,Lin Shaye,Amanda Wyss,Horror,A Nightmare on Elm Street
James Marsh,Paul McGill,Philippe Petit,Jean-Louis Blondeau,Biography Crime Documentary History Thriller,Man on Wire
John Laing,Siobhan Marshall,Peter Feeney,Rachel Nash,Drama,Abandoned
Jamal Hill,Logan Browning,Adam Ratcliffe,Faizon Love,Drama,Brotherly Love
Daniel Stamm,Caleb Landry Jones,Ashley Bell,Patrick Fabian,Drama Horror Thriller,The Last Exorcism
Sam Taylor-Johnson,Kristin Scott Thomas,Ophelia Lovibond,Anne-Marie Duff,Biography Drama Music,Nowhere Boy
Elia Kazan,Marlon Brando,Karl Malden,Kim Hunter,Drama,A Streetcar Named Desire
Stanley Kubrick,George C. Scott,Slim Pickens,Keenan Wynn,Comedy,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Carlos Carrera,Damián Alcázar,Ana Claudia Talancón,Pedro Armendáriz Jr.,Drama Romance,El crimen del padre Amaro
Benh Zeitlin,Quvenzhané Wallis,Gina Montana,Dwight Henry,Drama Fantasy,Beasts of the Southern Wild
J. Lee Thompson,Roddy McDowall,Paul Williams,Claude Akins,Action Sci-Fi,Battle for the Planet of the Apes
Maggie Greenwald,Aidan Quinn,David Patrick Kelly,Jane Adams,Drama Music,Songcatcher
Vera Farmiga,Donna Murphy,Bill Irwin,Michael Chernus,Drama,Higher Ground
Vijay Chandar,Hansika Motwani,T.R. Silambarasan,Brahmanandam,Comedy Romance,Vaalu
Morgan Spurlock,Quentin Tarantino,J.J. Abrams,Donald Trump,Comedy Documentary,The Greatest Movie Ever Sold
Jonathan Wacks,Steve Buscemi,Gary Farmer,Jon Gries,Comedy Horror,Ed and His Dead Mother
Khyentse Norbu,Tshewang Dendup,Lhakpa Dorji,Sonam Kinga,Adventure Drama,Travelers and Magicians
Ted Post,Clint Eastwood,Bruce Dern,Alan Hale Jr.,Western,Hang 'Em High
Richard Brooks,Humphrey Bogart,Jim Backus,Kim Hunter,Crime Drama Film-Noir,Deadline - U.S.A.
Tony Krantz,George Newbern,Tom Cavanagh,Cas Anvar,Horror Thriller,Sublime
Mitchell Altieri,Kimberley Crossman,Luke Edwards,Bree Williamson,Comedy Horror Thriller,A Beginner's Guide to Snuff
W.D. Hogan,Tom Everett Scott,Keenan Tracey,Nicholas Carella,Action Sci-Fi,Independence Daysaster
Corey Grant,Christian Keyes,Essence Atkins,Tatyana Ali,Comedy Drama,Dysfunctional Friends
Tom Tykwer,Moritz Bleibtreu,Ludger Pistor,Armin Rohde,Crime Drama,Run Lola Run
Lucky McKee,James Duval,Will Estes,Nora Zehetner,Drama Horror,May
Richard Boddington,Natasha Henstridge,CJ Adams,Erin Pitt,Adventure Family,Against the Wild
David Hunt,Matthew Alan,Chris Cleveland,Circus-Szalewski,Horror,Living Dark: The Story of Ted the Caver
Patricia Riggen,America Ferrera,Eugenio Derbez,Kate del Castillo,Adventure Drama,Under the Same Moon
J. Lee Thompson,Roddy McDowall,Gordon Jump,John Randolph,Action Sci-Fi,Conquest of the Planet of the Apes
Todd Field,Tom Wilkinson,Sissy Spacek,Karen Allen,Crime Drama,In the Bedroom
Steven R. Monroe,Sarah Butler,Chad Lindberg,Daniel Franzese,Horror Thriller,I Spit on Your Grave
Mark Illsley,Ally Walker,Illeana Douglas,Jeremy Northam,Comedy Crime Romance,"Happy, Texas"
Pawel Pawlikowski,Paddy Considine,Natalie Press,Dean Andrews,Drama Romance,My Summer of Love
Ritesh Batra,Nawazuddin Siddiqui,Nimrat Kaur,Lillete Dubey,Drama Romance,The Lunchbox
Sally Potter,Shirley Henderson,Joan Allen,Stephanie Leonidas,Drama Romance,Yes
Frank Capra,Jean Arthur,Ann Miller,Lionel Barrymore,Comedy Drama Romance,You Can't Take It with You
Fred Zinnemann,Montgomery Clift,Donna Reed,Deborah Kerr,Drama Romance War,From Here to Eternity
John Ford,Harry Carey Jr.,Ben Johnson,Victor McLaglen,Western,She Wore a Yellow Ribbon
Brad J. Silverman,Shawnee Smith,Michael Welch,Anthony Reynolds,Drama Music,Grace Unplugged
Dave Meyers,Eddie Griffin,Clifton Powell,Marla Gibbs,Comedy Drama,Foolish
David M. Matthews,Essence Atkins,Lamman Rucker,Tempestt Bledsoe,Crime Drama Thriller,N-Secure
Nadine Labaki,Yasmine Al Massri,Adel Karam,Nadine Labaki,Comedy Drama Romance,Caramel
Lluís Quílez,Stephen Rea,Pixie Davies,Alejandro Furth,Horror Thriller,Out of the Dark
Eytan Fox,Ohad Knoller,Lior Ashkenazi,Yousef 'Joe' Sweid,Comedy Drama Romance,The Bubble
Francis Ford Coppola,Harrison Ford,Teri Garr,Cindy Williams,Drama Mystery Thriller,The Conversation
Romesh Sharma,Annabelle Wallis,Revathy,Bhoomika Chawla,Romance,Dil Jo Bhi Kahey...
François Truffaut,Catherine Deneuve,Jean-Paul Belmondo,Michel Bouquet,Crime Drama Romance,Mississippi Mermaid
Adam Goldberg,Judy Greer,Marisa Coughlan,Nicky Katt,Drama Mystery,I Love Your Work
Travis Zariwny,Dustin Ingram,Gage Golightly,Samuel Davis,Horror,Cabin Fever
Zack Snyder,Ty Burrell,Kevin Zegers,Mekhi Phifer,Action Horror Thriller,Dawn of the Dead
Adrienne Shelly,Lew Temple,Cheryl Hines,Eddie Jemison,Comedy Drama Romance,Waitress
Newt Arnold,Bolo Yeung,Donald Gibb,Ken Siu,Action Biography Drama Sport,Bloodsport
Frank Capra,Claude Rains,Jean Arthur,Thomas Mitchell,Comedy Drama,Mr. Smith Goes to Washington
Larry Clark,Rosario Dawson,Leo Fitzpatrick,Justin Pierce,Drama,Kids
Noah Baumbach,William Baldwin,Elizabeth Meriwether,Owen Kline,Comedy Drama,The Squid and the Whale
Charles Herman-Wurmfeld,Scott Cohen,Jennifer Westfeldt,Brian Stepanek,Comedy Drama Romance,Kissing Jessica Stein
Yimou Zhang,Honglei Sun,Ni Yan,Dahong Ni,Comedy Drama,"A Woman, a Gun and a Noodle Shop"
John Stockwell,Matthew Ziff,T.J. Storm,Sam Medina,Action,Kickboxer: Vengeance
Alfred Hitchcock,Norman Lloyd,Rhonda Fleming,Leo G. Carroll,Film-Noir Mystery Romance Thriller,Spellbound
Atom Egoyan,Bruce Greenwood,Mia Kirshner,Sarah Polley,Drama Mystery Romance,Exotica
Vincent Gallo,Anjelica Huston,Vincent Gallo,Jan-Michael Vincent,Comedy Crime Drama Romance,Buffalo '66
James Wan,Lin Shaye,Barbara Hershey,Philip Friedman,Fantasy Horror Mystery Thriller,Insidious
Alex Cox,Del Zamora,Tracey Walter,Miguel Sandoval,Comedy Crime Sci-Fi Thriller,Repo Man
Fabián Bielinsky,Ricardo Darín,Gastón Pauls,Leticia Brédice,Crime Drama Thriller,Nine Queens
Dror Moreh,Ami Ayalon,Yuval Diskin,Yaakov Peri,Documentary War,The Gatekeepers
Rebecca Miller,Beau Bridges,Susanna Thompson,Ryan McDonald,Drama,The Ballad of Jack and Rose
Maggie Carey,Donald Glover,Alia Shawkat,Scott Porter,Comedy Romance,The To Do List
Roger Avary,Eric Stoltz,Salvator Xuereb,Jean-Hugues Anglade,Crime Drama Thriller,Killing Zoe
Henry Bean,Ryan Gosling,Theresa Russell,Summer Phoenix,Drama,The Believer
David Gordon Green,Michael Angarano,Connor Paolo,Tom Noonan,Drama Romance,Snow Angels
Simeon Rice,Ward G. Smith,Lisa Brave,Malone Thomas,Action Horror Thriller,Unsullied
Brad Anderson,Paul Guilfoyle,Brendan Sexton III,Larry Fessenden,Horror Mystery,Session 9
Jeff Garlin,Jessy Schram,Jeff Garlin,Joey Slotnick,Comedy Romance,I Want Someone to Eat Cheese With
Qasim Basir,Dorian Missick,Nia Long,Evan Ross,Drama Family,Mooz-Lum
